"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant"
"ADAMTS9-AS1","ADAMTS9 antisense RNA 1","ENSG00000241158",-1.75178471750227,6.40345743219137e-42,"Significant"
"SLC16A12","solute carrier family 16 member 12","ENSG00000152779",-2.03842282849372,1.19504085139662e-41,"Significant"
"CCL14","C-C motif chemokine ligand 14","ENSG00000276409",-2.0659152920699,2.11406776339346e-41,"Significant"
"ACTA2-AS1","ACTA2 antisense RNA 1","ENSG00000180139",-1.50223833642881,2.3487921976903e-41,"Significant"
"TNXB","tenascin XB","ENSG00000168477",-1.53492220550486,2.42433886889657e-41,"Significant"
"LINC02884","long intergenic non-protein coding RNA 2884","ENSG00000231246",-1.70077652495265,2.43266231662095e-41,"Significant"
"DSC3","desmocollin 3","ENSG00000134762",-2.10423234418745,4.03221642775659e-41,"Significant"
"LINC03095","long intergenic non-protein coding RNA 3095","ENSG00000233760",-1.99268834262228,6.83482569841438e-41,"Significant"
"OPRPN","opiorphin prepropeptide","ENSG00000171199",-4.42137844753184,1.45162329605826e-40,"Significant"
"BBOX1","gamma-butyrobetaine hydroxylase 1","ENSG00000129151",-2.0818897945471,1.52987521151384e-40,"Significant"
"MIR145","microRNA 145","ENSG00000276365",-2.00573102384693,1.74257875385576e-40,"Significant"
"WIF1","WNT inhibitory factor 1","ENSG00000156076",-3.38656408553101,2.71485894879134e-40,"Significant"
"CRYAB","crystallin alpha B","ENSG00000109846",-1.53943432236905,4.38069593551754e-40,"Significant"
"PEBP4","phosphatidylethanolamine binding protein 4","ENSG00000134020",-2.34667632348472,4.58955494089018e-40,"Significant"
"CXCL2","C-X-C motif chemokine ligand 2","ENSG00000081041",-1.87132343435327,5.33369421804781e-40,"Significant"
"TRPM6","transient receptor potential cation channel subfamily M member 6","ENSG00000119121",-1.65195892043659,7.35285579151873e-40,"Significant"
"KLK5","kallikrein related peptidase 5","ENSG00000167754",-2.54904537360858,1.91630613304518e-39,"Significant"
"DSG1","desmoglein 1","ENSG00000134760",-2.79993118760895,3.7276798569939e-39,"Significant"
