"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035860","glial cell-derived neurotrophic factor receptor signaling pathway","2/62","17/18860",0.117647058823529,35.7874762808349,8.24084436520611,0.00140084326545297,0.0390368323306228,0.032391428488895,"GATA3/GFRA3",2
"GO:0001655","urogenital system development","3/62","68/18860",0.0441176470588235,13.4203036053131,5.89249901806166,0.00145619890982484,0.0392703964068893,0.0325852319719719,"ESR1/FOXA1/AR",3
"GO:0042698","ovulation cycle","3/62","68/18860",0.0441176470588235,13.4203036053131,5.89249901806166,0.00145619890982484,0.0392703964068893,0.0325852319719719,"CA12/PGR/ESR1",3
"GO:0072189","ureter development","2/62","18/18860",0.111111111111111,33.7992831541219,7.99533117287442,0.00157261729084331,0.0417367636553969,0.0346317391701166,"SOX8/GATA3",2
"GO:0008584","male gonad development","4/62","154/18860",0.025974025974026,7.90113112693758,4.9384371068265,0.00165105829804859,0.0431338980365193,0.0357910335004612,"SOX8/ESR1/GATA3/AR",4
"GO:0046546","development of primary male sexual characteristics","4/62","155/18860",0.0258064516129032,7.85015608740895,4.91798061554787,0.00169066466575407,0.0434890972483201,0.0360857656593339,"SOX8/ESR1/GATA3/AR",4
"GO:0071391","cellular response to estrogen stimulus","2/62","19/18860",0.105263157894737,32.0203735144312,7.76910875452207,0.00175391650164228,0.0437693789663566,0.0363183338439046,"ESR1/AR",2
"GO:2000677","regulation of transcription regulatory region DNA binding","2/62","19/18860",0.105263157894737,32.0203735144312,7.76910875452207,0.00175391650164228,0.0437693789663566,0.0363183338439046,"FOXC1/GATA3",2
"GO:0015800","acidic amino acid transport","3/62","74/18860",0.0405405405405405,12.332170880558,5.60933229155805,0.00185740711770364,0.0456703632470659,0.0378957055903002,"TTYH1/ABAT/ABCC8",3
"GO:0072006","nephron development","4/62","160/18860",0.025,7.60483870967742,4.81837677722227,0.00189865736711191,0.0460080451856684,0.0381759025149276,"SOX8/FOXC1/GATA3/ERBB4",4
"GO:0072079","nephron tubule formation","2/62","20/18860",0.1,30.4193548387097,7.55974324255432,0.00194467846014382,0.0464500340765781,0.0385426497814971,"SOX8/GATA3",2
