"sample_id","total_counts","detected_genes"
"TCGA-A8-A09W-01A-11R-A00Z-07",49271278,27060
"TCGA-A8-A09X-01A-11R-A00Z-07",54139891,28041
"TCGA-A8-A09Z-01A-11R-A00Z-07",56211488,27416
"TCGA-A8-A0A1-01A-11R-A00Z-07",38694832,27512
"TCGA-A8-A0A2-01A-11R-A034-07",74199119,31106
"TCGA-A8-A0A4-01A-11R-A00Z-07",47439482,31751
"TCGA-A8-A0A6-01A-12R-A056-07",39310991,28567
"TCGA-A8-A0A7-01A-11R-A00Z-07",60783199,29748
"TCGA-A8-A0A9-01A-11R-A00Z-07",70307263,30238
"TCGA-A8-A0AB-01A-11R-A034-07",75962214,30278
"TCGA-A8-A0AD-01A-11R-A056-07",46187744,27600
"TCGA-AC-A23C-01A-12R-A169-07",72923514,31499
"TCGA-AC-A23E-01A-11R-A157-07",75283565,29260
"TCGA-AC-A23G-01A-11R-A213-07",30735310,27533
"TCGA-AC-A23H-01A-11R-A157-07",70953578,29450
"TCGA-AC-A2B8-01A-11R-A17B-07",80619730,31020
"TCGA-AC-A2BK-01A-11R-A21T-07",56626931,27660
"TCGA-AC-A2BM-01A-11R-A21T-07",53702087,29727
"TCGA-AC-A2FB-01A-11R-A17B-07",65665147,30999
"TCGA-AC-A2FE-01A-11R-A19W-07",62400050,30300
"TCGA-AC-A2FF-01A-11R-A17B-07",67280265,30936
"TCGA-AC-A2FG-01A-11R-A17B-07",76280230,31093
"TCGA-AC-A2FK-01A-12R-A180-07",45053465,30588
"TCGA-AC-A2FM-01A-11R-A19W-07",58232953,29493
"TCGA-AC-A2FO-01A-11R-A180-07",52200818,30227
"TCGA-AC-A2QH-01A-11R-A18M-07",72835293,31528
"TCGA-AC-A2QI-01A-12R-A19W-07",57709301,29472
"TCGA-AC-A2QJ-01A-12R-A19W-07",52043224,26108
"TCGA-AC-A3BB-01A-21R-A19W-07",56471353,29749
"TCGA-AC-A3EH-01A-22R-A22K-07",59139170,28398
"TCGA-AC-A3HN-01A-11R-A213-07",76184275,31001
"TCGA-AC-A3OD-01A-11R-A21T-07",57624642,33600
"TCGA-AC-A3QP-01A-11R-A22U-07",56442104,28755
"TCGA-AC-A3QQ-01B-06R-A22O-07",27450574,29025
"TCGA-AC-A3TM-01A-11R-A22K-07",48669884,28845
"TCGA-AC-A3TN-01A-11R-A22K-07",55630121,28968
"TCGA-AC-A3W5-01A-11R-A22K-07",54480484,29995
"TCGA-AC-A3W6-01A-12R-A22K-07",50994308,29684
"TCGA-AC-A3W7-01A-11R-A22K-07",66469450,30938
"TCGA-AC-A3YI-01A-21R-A239-07",43914458,29621
"TCGA-AC-A3YJ-01A-11R-A22U-07",41990865,27686
"TCGA-AC-A4ZE-01A-11R-A41B-07",56836875,29807
"TCGA-AC-A5EH-01A-11R-A28M-07",50042926,28514
"TCGA-AC-A5XS-01A-11R-A29R-07",43201420,28499
"TCGA-AC-A5XU-01A-11R-A28M-07",50619105,28739
"TCGA-AC-A62X-01A-11R-A29R-07",48505768,27583
"TCGA-AC-A62Y-01A-11R-A29R-07",49387864,28878
"TCGA-AC-A6IV-01A-12R-A33J-07",58661309,31221
"TCGA-AC-A6IW-01A-12R-A33J-07",67411342,29685
"TCGA-AC-A6IX-01A-12R-A32P-07",53687255,30721
"TCGA-AC-A6NO-01A-12R-A33J-07",49971454,30465
"TCGA-AC-A7VB-01A-11R-A352-07",64134462,29437
"TCGA-AC-A7VC-01A-11R-A352-07",41744733,27661
"TCGA-AC-A8OP-01A-11R-A36F-07",40308339,29600
"TCGA-AC-A8OQ-01A-11R-A41B-07",44150064,30294
"TCGA-AC-A8OR-01A-21R-A41B-07",36917909,27129
"TCGA-AC-A8OS-01A-12R-A41B-07",49878949,30674
"TCGA-AN-A03X-01A-21R-A00Z-07",36374760,22769
"TCGA-AN-A03Y-01A-21R-A00Z-07",62329281,28996
"TCGA-AN-A041-01A-11R-A034-07",69508010,29728
"TCGA-AN-A046-01A-21R-A034-07",64442463,29751
"TCGA-AN-A049-01A-21R-A00Z-07",48409446,29008
"TCGA-AN-A04A-01A-21R-A034-07",68278280,28734
"TCGA-AN-A04C-01A-21R-A034-07",66824945,29208
"TCGA-AN-A04D-01A-21R-A034-07",71095293,29049
"TCGA-AN-A0AJ-01A-11R-A00Z-07",70526416,29492
"TCGA-AN-A0AK-01A-21R-A00Z-07",45324848,25790
"TCGA-AN-A0AL-01A-11R-A00Z-07",53693155,28047
"TCGA-AN-A0AM-01A-11R-A034-07",67601734,29779
"TCGA-AN-A0AR-01A-11R-A00Z-07",62695018,30443
"TCGA-AN-A0AS-01A-11R-A00Z-07",51678774,27893
"TCGA-AN-A0AT-01A-11R-A034-07",73040358,30088
"TCGA-AN-A0FD-01A-11R-A034-07",48812169,27761
"TCGA-AN-A0FF-01A-11R-A034-07",53499178,30067
"TCGA-AN-A0FJ-01A-11R-A00Z-07",33021638,27225
"TCGA-AN-A0FK-01A-11R-A034-07",56707361,27637
"TCGA-AN-A0FL-01A-11R-A034-07",51756731,26744
"TCGA-AN-A0FN-01A-11R-A034-07",69213774,30174
"TCGA-AN-A0FS-01A-11R-A034-07",79873672,30506
"TCGA-AN-A0FT-01A-11R-A034-07",60805474,27990
"TCGA-AN-A0FV-01A-11R-A00Z-07",59071584,29288
"TCGA-AN-A0FW-01A-11R-A034-07",70888554,29695
"TCGA-AN-A0FX-01A-11R-A034-07",65663871,30494
"TCGA-AN-A0FY-01A-11R-A034-07",76103748,30561
"TCGA-AN-A0FZ-01A-11R-A034-07",85553731,29754
"TCGA-AN-A0G0-01A-11R-A034-07",70575390,28731
"TCGA-AN-A0XL-01A-11R-A10J-07",54305503,29861
"TCGA-AN-A0XN-01A-21R-A109-07",47062390,27942
"TCGA-AN-A0XO-01A-11R-A109-07",75171642,29720
"TCGA-AN-A0XP-01A-11R-A109-07",60393638,28408
"TCGA-AN-A0XR-01A-11R-A109-07",45479773,28120
"TCGA-AN-A0XS-01A-22R-A109-07",61518843,29348
"TCGA-AN-A0XT-01A-11R-A109-07",46773676,27242
"TCGA-AN-A0XU-01A-11R-A109-07",59151032,30219
"TCGA-AN-A0XV-01A-11R-A109-07",59399611,30081
"TCGA-AN-A0XW-01A-11R-A109-07",55702381,29457
"TCGA-AO-A03L-01A-41R-A056-07",60089978,29365
"TCGA-AO-A03M-01B-11R-A10J-07",76491333,29813
"TCGA-AO-A03N-01B-11R-A10J-07",54234815,24885
"TCGA-AO-A03O-01A-11R-A00Z-07",44467665,27315
"TCGA-AO-A03P-01A-11R-A00Z-07",70108754,29289
"TCGA-AO-A03R-01A-21R-A034-07",38063770,27987
"TCGA-AO-A03T-01A-21R-A034-07",56725018,28925
"TCGA-AO-A03U-01B-21R-A10J-07",77822760,28825
"TCGA-AO-A03V-01A-11R-A115-07",51977373,29541
"TCGA-AO-A0J2-01A-11R-A034-07",73757059,28994
"TCGA-AO-A0J3-01A-11R-A034-07",79467865,29408
"TCGA-AO-A0J4-01A-11R-A034-07",85097054,30708
"TCGA-AO-A0J5-01A-11R-A034-07",81724152,29859
"TCGA-AO-A0J6-01A-11R-A034-07",78685006,29156
"TCGA-AO-A0J7-01A-11R-A034-07",57411368,27959
"TCGA-AO-A0J8-01A-21R-A034-07",81004735,29791
"TCGA-AO-A0J9-01A-11R-A034-07",70770475,29826
"TCGA-AO-A0JA-01A-11R-A056-07",58614981,29250
"TCGA-AO-A0JB-01A-11R-A32Y-07",31071863,27110
"TCGA-AO-A0JC-01A-11R-A056-07",49512794,30428
"TCGA-AO-A0JD-01A-11R-A056-07",54086286,28596
"TCGA-AO-A0JE-01A-11R-A056-07",56381681,29740
"TCGA-AO-A0JF-01A-11R-A056-07",53795039,29384
"TCGA-AO-A0JG-01A-31R-A084-07",64910716,30482
"TCGA-AO-A0JI-01A-21R-A056-07",52396007,28590
"TCGA-AO-A0JJ-01A-11R-A056-07",56342063,28953
"TCGA-AO-A0JL-01A-11R-A056-07",46197980,28455
"TCGA-AO-A0JM-01A-21R-A056-07",37533457,26167
"TCGA-AO-A124-01A-11R-A10J-07",72215620,29878
"TCGA-AO-A125-01A-11R-A10J-07",54860307,28483
